"moh",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
"Dehiwala",22,37,52,18,43,14,34,15,18,21,10,16,5,10,1,17,4,8,6,33,10,22,48,35,26,26,68,33,47,44,40,28,46,24,12,16,22,13,24,29,31,37,15,23,26,27,10,19,21,21,32,12
"Piliyandal",10,15,11,14,5,16,10,14,16,3,11,4,2,5,5,9,6,4,2,6,8,10,23,9,19,9,22,20,16,28,12,14,30,10,17,7,6,9,2,7,1,23,8,10,19,9,4,7,10,6,5,6
"Homagama",18,9,17,14,8,9,7,6,11,7,9,10,8,3,5,2,14,13,4,9,10,5,11,10,6,13,16,18,7,15,10,12,10,12,5,7,5,4,4,7,3,9,8,9,10,6,11,5,19,5,4,5
"Kaduwela",1,6,20,6,26,12,15,12,19,14,16,11,10,4,11,13,16,18,7,22,14,21,15,33,12,21,16,19,30,15,24,25,27,10,9,10,11,11,10,4,24,14,18,6,12,15,12,12,11,10,12,5
"Kolonnawa",76,57,58,32,39,15,18,10,25,11,13,9,23,17,8,14,10,12,13,29,23,44,9,19,30,55,47,35,29,55,43,7,78,12,11,15,10,9,19,52,9,37,61,41,17,11,26,10,25,16,18,12
"Kotte",4,9,14,5,11,12,8,6,3,6,5,4,2,3,3,2,10,4,2,4,7,10,12,8,12,9,15,15,11,26,7,20,29,7,6,2,7,1,5,2,5,3,12,8,10,4,8,5,9,5,9,4
"Maharagama",11,14,15,15,15,17,15,11,4,6,7,8,6,4,3,2,6,9,2,6,8,18,19,19,8,34,17,24,23,30,17,25,25,13,12,4,23,9,5,12,6,19,2,6,28,8,8,7,13,20,18,2
"MC-Colombo",68,66,80,68,70,43,43,32,33,31,29,49,37,37,18,49,38,43,44,64,69,67,70,83,72,91,74,93,84,116,87,66,58,43,29,39,33,34,37,42,33,43,33,45,39,36,51,70,63,52,80,37
"Moratuwa",16,36,24,37,20,19,24,11,15,13,16,11,3,6,7,11,6,4,11,10,8,8,14,29,4,23,23,6,17,16,5,40,10,5,5,2,9,5,3,6,11,7,8,13,9,6,9,14,8,12,15,6
"Nugegoda",5,21,23,7,9,14,4,3,3,2,4,2,1,0,1,7,1,4,0,3,2,4,3,3,6,7,6,4,9,8,13,9,10,7,1,2,4,5,3,5,6,2,3,5,3,2,4,5,5,4,5,4
"Padukka",1,4,4,3,2,3,0,1,3,1,0,0,0,4,0,1,7,3,1,0,2,0,1,5,4,2,2,1,4,2,3,4,0,7,1,1,2,2,1,0,1,2,0,1,0,1,2,1,5,2,1,2
"Boralesgam",2,5,8,2,2,4,2,3,6,2,6,0,1,0,0,0,1,3,2,2,4,1,3,3,2,4,6,16,8,12,7,7,9,14,11,5,4,6,6,6,8,6,6,7,12,6,4,3,3,1,2,1
"Hanwella",1,0,1,4,2,5,2,3,3,4,0,0,2,0,0,4,7,1,3,1,6,6,4,16,28,8,11,21,9,25,4,38,21,20,8,22,8,15,7,8,6,21,5,9,14,12,16,5,6,9,16,8
"Attanagall",13,6,2,6,6,0,6,4,7,1,5,4,1,9,0,8,5,2,4,5,9,8,13,13,16,16,9,10,14,2,7,17,8,1,8,8,6,5,9,4,5,8,12,12,5,7,2,2,3,3,11,11
"Biyagama",13,10,19,4,15,5,8,3,3,4,4,1,8,3,0,17,3,18,7,17,20,25,12,34,42,17,25,46,19,9,12,5,11,7,6,7,14,4,2,2,7,7,3,9,10,8,5,3,3,3,1,3
"Divulapiti",3,14,11,14,10,7,3,15,6,3,8,3,4,1,2,3,2,3,3,4,4,13,17,8,16,16,14,18,10,32,26,24,26,26,16,13,9,5,10,7,10,4,9,6,2,7,3,2,1,4,2,2
"Gampaha",1,16,6,14,31,13,22,16,12,3,6,9,3,10,7,10,5,5,1,20,24,17,20,21,15,19,16,24,24,25,18,19,15,7,3,10,8,8,6,8,4,15,8,15,15,13,16,13,7,14,11,10
"Ja-Ela",3,10,4,13,4,3,2,4,0,2,2,8,1,2,2,2,1,7,0,5,3,7,7,18,21,42,20,33,33,27,2,8,17,18,14,4,5,13,11,14,16,9,11,10,35,9,17,19,16,11,10,15
"Katana",6,37,22,19,21,17,12,1,5,5,5,7,9,3,8,3,3,4,2,4,1,9,5,9,18,15,6,15,14,18,8,3,7,10,4,5,4,3,0,0,12,1,6,5,3,0,8,1,0,3,2,2
"Kelaniya",15,11,21,6,11,9,12,6,14,0,4,19,4,8,4,16,3,10,5,11,17,13,7,30,29,21,12,11,24,12,16,12,16,7,7,11,12,11,22,19,19,7,21,7,6,20,5,7,2,11,37,15
"Dompe(Kiri",15,15,3,17,22,7,6,13,15,8,8,15,8,10,8,12,24,10,0,13,11,16,22,50,23,21,15,18,34,16,6,11,34,30,13,1,11,6,11,11,7,9,11,6,10,9,4,8,5,5,1,7
"Mahara",17,20,31,29,18,17,18,10,17,3,6,7,9,9,4,11,9,9,8,9,9,7,21,28,21,19,27,6,23,34,16,20,37,62,6,14,12,12,14,22,45,10,19,16,35,34,14,13,5,7,9,9
"MC-Negombo",30,98,34,26,48,18,17,9,9,12,10,17,12,17,7,10,18,12,0,4,0,28,5,28,8,8,13,11,8,16,11,6,5,3,2,5,2,7,13,3,7,6,2,6,9,2,15,21,31,12,17,20
"Minuwangod",12,7,21,9,33,15,12,10,7,3,17,10,2,5,5,8,14,2,12,11,11,13,15,15,25,11,11,19,11,35,1,2,15,5,8,11,6,14,9,6,14,6,10,4,24,9,2,11,6,8,8,1
