"REGION_NAME","REGION_ID","MOH_NAME",1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,"CASE_SUM"
"Ambanpola",14,"Abanpola",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0,2,0,1,0,0,0,1,0,0,0,0,0,0,0,1,2,2,0,0,0,1,0,0,1,2,1,1
"ADDACHCHENAI",2,"Addalaiche",0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AGALAWATTA",3,"Agalawatta",0,2,1,3,3,1,3,5,0,3,2,3,1,1,1,3,2,2,3,2,0,3,2,3,5,6,1,2,2,2,1,5,3,0,1,0,2,1,2,0,3,1,1,2,1,0,2,0,0,1,2,3
"AKKARAIPATTU",4,"Akkaraipat",0,1,3,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1
"AKMEEMANA",5,"Akmeemana",1,2,0,2,0,0,2,0,0,1,3,0,1,1,0,0,0,1,0,0,2,1,2,2,0,5,7,3,0,5,1,0,0,2,5,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,0
"AKURANA",6,"Akurana",3,6,1,7,2,3,2,0,0,3,0,0,1,2,0,6,4,3,6,0,4,0,6,6,11,2,10,5,10,26,29,22,33,16,11,6,13,2,4,7,5,14,7,14,4,7,2,4,4,6,3,5
"AKURESSA",7,"Akuressa",3,1,4,0,5,3,2,4,4,1,2,2,2,1,1,1,1,1,0,1,3,0,2,2,2,3,3,4,2,5,2,4,0,4,0,3,1,0,1,1,1,0,3,7,2,1,1,3,3,2,1,0
"ALAWWA",8,"Alawwa",6,1,0,2,2,0,2,2,1,1,2,1,2,1,2,6,11,13,7,5,16,7,12,9,11,6,10,2,7,3,2,6,4,2,2,3,5,1,1,3,3,5,11,4,4,0,5,5,6,12,7,0
"ALAYADIVEMBU",9,"Alayadivem",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AMBAGAMUWA",10,"Ambagamuwa",0,0,0,0,0,0,0,0,2,2,1,1,2,0,0,4,0,0,1,0,0,0,1,3,10,7,2,3,0,4,1,1,2,2,0,1,0,0,5,0,3,0,0,1,0,2,0,0,0,0,0,4
"AMBALANGODA",11,"Ambalangod",3,0,0,1,1,0,2,0,0,0,1,2,7,5,0,2,2,1,7,0,1,1,4,3,0,1,10,2,1,3,1,0,1,0,0,0,2,0,1,0,1,0,3,0,0,3,3,2,7,3,4,1
"AMBALANTOTA",12,"Ambalantot",0,0,1,2,0,0,0,0,1,1,0,0,0,2,2,1,1,0,2,0,0,1,0,2,1,3,0,5,3,1,0,4,2,0,0,0,2,1,1,3,4,1,0,0,0,0,4,2,1,0,5,3
"AMBANGANGA KORALE",13,"Ambanganga",1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1
"AMPARA",15,"Ampara",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,1,0,0
"Anamaduwa",16,"Anamaduwa",2,3,4,1,1,1,2,1,2,1,1,1,1,0,0,1,1,0,2,0,1,0,1,1,2,0,1,1,0,0,0,0,0,1,0,0,2,0,3,0,2,0,1,3,2,1,2,0,1,2,4,4
"ANGUNUKOLAPELES",17,"Angunakola",2,1,0,1,1,2,1,2,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,4,0,0,1,3,0,2,2,1,0,3,0,0,0,0,0,1,1,2,1,3,0,0,0,1,0,1,0,1
,,"Anuradhapu",1,2,2,2,2,1,0,0,1,1,1,0,1,0,0,0,1,1,0,0,0,2,1,2,2,0,1,0,1,1,0,3,0,0,1,2,0,0,0,1,1,0,0,1,1,4,2,1,9,2,7,5
,,"Anuradhapu",2,3,0,2,0,2,0,0,1,2,0,0,1,1,1,0,0,2,0,1,1,1,2,2,1,0,0,0,0,2,1,0,1,2,0,2,2,2,0,1,0,1,1,0,1,2,5,1,6,14,17,13
"Arachchikattuwa",18,"Arachchika",0,0,1,0,1,1,1,1,0,0,0,0,0,1,1,1,0,0,0,1,2,0,0,1,0,0,3,3,5,1,2,0,1,0,0,0,0,0,1,0,2,1,0,0,2,1,1,0,4,2,5,1
"ARANAYAKA",19,"Aranayaka",5,1,5,6,1,4,3,8,0,2,1,0,1,8,0,4,13,3,8,8,10,9,3,19,16,30,19,22,8,8,10,9,11,3,6,5,0,6,1,10,0,3,1,4,1,3,7,3,5,8,1,3
"ARAYAMPATHY",20,"Arayampath",3,1,5,3,2,1,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"ATTANAGALLA",22,"Attanagall",13,6,2,6,6,0,6,4,7,1,5,4,1,9,0,8,5,2,4,5,9,8,13,13,16,16,9,10,14,2,7,17,8,1,8,8,6,5,9,4,5,8,12,12,5,7,2,2,3,3,11,11
