"NEGAMBO",213
"NUWARA ELIYA MC",222
"NUWARAGAM PALATHA CENTRAL",223
"NUWARAGAM PALATHA EAST",224
"Pallama",237
"PASBAGE KORALE",243
"PATHADUMBARA",246
"PATHAHEWAHETA",247
"PITABEDDARA",250
"PITAKOTTE",251
"RATHGAMA",265
"RATHMALANA",266
"RATNAPURA-MC",268
"THUMPANE",293
,
"UDAPALATHA",297
"WELIOYA",324
"WELIVITIYA-DIVITHURA",326
,
,
,
"EACHCHILAMPATRU",67
"HARISPATTUWA",97
"KALUWANCHIKUDY",121
"KALMUNAI SOUTH ( MUSLIM DIV )",117
"KALNUMAI NORTH ( TAMIL DIV )",118
"KORALAIPATTU ( ODDMAVADI CENTRAL )",149
"Madulla",166
"MANTHAI EAST",178
"NANATTAN",207
"NAWATHISPANE",212
"Soranathota",281
"WELIKANDA",322
