"id","moh"
"0","Panadura"
"1","Kalutara(North)"
"2","Bandaragama"
"3","Biyagama"
"4","Kaduwela"
"5","Malimboda"
"6","Aturaliya"
"7","Kalpitiya"
"8","Puttalam"
"9","Karuwalaga"
"10","Thunukkai-"
"11","Kiran"
"12","Chenkaladi"
"13","Mutur"
"14","Ambalangoda"
"15","Galnewa"
"16","Ipalogama"
"17","Thirappane"
"18","Beruwala(North)"
"19","Ragama"
"20","Padaviya"
"21","Padavi Sripura"
"22","Sampathnuwara"
"23","Buttala"
"24","Wattala"
"25","MC-Matale"
"26","Rattota"
"27","Yatawatta"
"28","Palinda-Nuwara"
"29","Agalawatta"
"30","Walallavita"
"31","Gomarankadawala"
"32","Kuchchaveli"
"33","Maharagama"
"34","Welimada"
"35","Kopay"
"36","Karaveddy"
"37","Chavakachcheri"
"38","Kothmale"
"39","Nawalapitiya"
"40","Kotagala"
"41","Kelaniya"
"42","Hikkaduwa"
"43","Gonapinuwala"
"44","Alaiyadivembu"
"45","Akkaraipattu"
"46","Kattankudy"
"47","Arayampathy"
"48","Kotavehara"
"49","Damana"
"50","Bibile"
"51","Ampara"
"52","Uhana"
"53","Padiyatalwa"
"54","Maha-Oya"
"55","Mahiyangan"
"56","Girandurukotte"
"57","Rideemaliy"
"58","MC - Dambulla"
"59","Madhu"
"60","Thalawa"
"61","Anuradhapu"
"62","Udugama(Na"
"63","Niyagama"
"64","Tawalama"
"65","Ja ela"
"66","Seeduwa"
"67","Induruwa"
"68","Matugama"
"69","MC - Colombo"
"70","Kollonnawa"
"71","Dehiowita"
"72","Ganewatta"
"73","Polpithigama"
"74","Weerambugedara"
"75","Wariyapola"
"76","Imaduwa"
"77","Akuressa"
"78","Yakkalamulla"
"79","Ambalantota"
"80","Hambantota"
"81","Valaichcheni"
"82","Oddamavadi"
"83","Vakarai"
"84","Hasalaka(M"
"85","Laggala-(pallegama)"
"86","Wilgamuwa"
"87","Neluwa"
"88","Pannala"
"89","Doluwa"
"90","Ambagamuwa"
"91","Galaha"
"92","Kandaketiy"
"93","Ududumbara"
"94","Uduvil"
"95","Rathnapura"
"96","Katuwana"
"97","Pothuvil"
"98","Lahugala"
"99","MC-Kandy"
"100","Gangawatakorale"
"101","Homagama"
"102","Horowpatha"
"103","Kebithigol"
"104","Kahatagasd"
"105","Katana"
"106","Eravoor"
"107","Galgamuwa"
"108","Thambuttegama"
"109","oddusuddan"
"110","Kandavalai"
"111","Puthukudiyirippu"
"112","Mahara"
"113","Talatu-Oya"
"114","Velanai"
"115","Ragala"
"116","Hali-Ela"
"117","Uva-Provincial Council"
"118","Meegahakiv"
"119","Duvilipitiya"
"120","Minuwangoda"
"121","Nochchiyag"
"122","Rajanganay"
"123","Matale"
"124","MC-Nuwaraeliya"
"125","Mathurata"
"126","Panduwasnuwara"
"127","Sooriyawewa"
"128","Lunugamvehera"
"129","Siyambalanduwa"
"130","Monaragala"
"131","Meerigama"
"132","Ambanganga"
"133","Dehiattakandiya"
"134","Batticaloa"
"135","Vellaveli"
"136","Morawaka"
"137","Kotapola"
"138","Thirukovil"
"139","Madurawala"
"140","Dodamgoda"
"141","Kalawana"
"142","Nivithigala"
"143","Elapatha"
"144","Ayagama"
"145","Ruwanwella"
"146","Attanagalla"
"147","Dimbulagal"
"148","Haldummull"
"149","Haputale"
"150","Vaunathivu"
"151","Sandilipay"
"152","Tellippalai"
"153","Chilaw"
"154","Mannar"
"155","Palai"
"156","Naula"
"157","Elahera"
"158","Pallepola"
"159","Angunakolapalessa"
"160","Trincomalee"
"161","Nawalbase("
"162","MC-Galle"
"163","Horana"
"164","Nugegoda"
"165","Gampola(Ud"
"166","Welipitiya"
"167","Galewela"
"168","Bandarawela"
"169","Ella"
"170","Mulatiyana"
"171","Kamburupitiya"
"172","Piliyandala"
"173","Dehiwala"
"174","Godakawela"
"175","Kahawaththa"
"176","Vavuniya(S"
"177","Cheddikulam"
"178","Wellawaya"
