Station,Station_ID,X,Y
Addalachchenai,01AM001E,7.23,81.85
Ambanpitiya estate,01KE009B,7.23,80.32
Anamaduwa despensary,01PU0013,7.88,80
Baddegama estate,01GL0030,6.18,80.18
Bandaragama,01KT0035,6.72,80
Chavakachcheri,01JF062A,9.67,80.17
Chilaw – P.W.D.,01PU0065,7.58,79.78
Hanwella group,01CB0150,6.88,80.12
Hattun Rosita,01NE0153,6.92,80.6
Kahatagasdigiliya W/S,01AN193A,8.42,80.68
Kalkudah,01BT197B,7.88,81.55
"Kalutara, Vogan group",01KT524A,6.53,80.1
Mahalewaya,01HT0292,6.13,81.13
Mellawa estate,01KG0129,7.32,79.95
Mylambavelly estate,01BT0357,7.77,81.63
Panduwasnuwara,01KG404A,7.6,80.12
Polonnaruwa Agri station,01PL0427,7.92,81.03
Colombo Port,01BCB469B,6.93,79.85
Sagamam tank,01AM0459,7.13,81.8
Thammita,01GM4878,7.1,79.95
Welikanda (Singhapura),01PL0538C,8,81.22
Wewalthalawa estate,01KE0544,7.05,80.38
Wewessa estate,01BD05445,6.97,81.1
Mediyawa tank,01KG0326,7.8775769,80.2893078
