MOH_name,MOH_ID,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52
Sooriyawewa,127,29.7952770703,30.2528922762,32.4429748448,32.2727268689,32.8035418417,31.5538370916,29.6399055333,32.9309325472,32.434120525,32.2174735129,32.0942144169,32.5547812594,32.4230228771,32.6158206388,32.5902001838,33.2852429975,32.9319944212,31.4054305226,32.3198345449,31.4003539564,30.6649352656,30.7100353192,30.315938581,30.9262103099,32.0852422616,30.7795750387,31.9432120352,32.3305780748,30.7338846767,29.4817003294,32.542739123,32.7387252102,31.4459267283,29.8837077751,30.6900826634,31.2349469207,29.4815823507,29.5933890198,30.3988197059,30.5609211207,30.0940973823,30.3292800706,30.4597407573,31.3231406037,32.2987011168,31.7899645965,31.9362455977,31.0079103492,30.8318772082,29.7296340796,30.540613683,30.3571424325
Hanguranketha,275,21.2430652537,21.9464779035,24.1356030052,21.9238760373,23.7811251008,22.7238748503,22.7006342685,23.8018071131,23.7626806625,23.9939171939,25.0125741964,25.515345875,26.012360896,26.2790996668,25.6653466522,26.3352827617,25.7610826885,25.1185455578,24.3120422613,24.6966899497,23.7663060195,21.5784589753,20.9864546792,20.11822423,20.5190772686,22.1028730707,20.9263268304,20.9228084576,20.9438106732,21.4628937243,21.3656658319,22.1331500158,22.4567110323,22.9665190885,24.8349623816,20.7955166265,20.1094819883,21.5140668628,24.2781402173,23.7787793823,22.5148131889,22.5784591451,23.4850692837,23.3723818293,23.7937040436,23.0539389319,23.4015935822,23.0598029276,21.1172662873,22.2028730027,22.7579914219,22.2377345776
Vavuniya(S,176,28.5714285714,28.3714283534,30.6428571429,29.9428571973,30.171428408,29.9142853873,30.3142863682,31.4571426937,31.0428570338,32.1000006539,32.5857146127,33.3857149397,34.6571437291,33.7857145582,34.4142859323,34.9571429661,34.3428573608,33.9285719735,32.7999992371,33.299999782,33.0857146127,32.800000327,32.7714285169,33.2857142857,33.3714288984,33.600000109,33.600000654,33.6999999455,32.8714283534,34.1142861502,34.6714286804,33.0428575788,32.6428579603,34.5714285714,35.8142858233,30.2571430206,32.1285716466,33.6428576878,35.0428575788,35.5428575788,34.7428577968,32.9714284625,32.9571432386,32.8142860958,31.2857145582,30.5857146127,31.7142857143,32.3714286259,28.6714284079,29.928571701,29.1857141767,29.6285711016
Gampaha,189,29.3015624118,29.7418040149,31.9137589051,31.9661115448,33.4407340379,32.3365551599,30.6301510226,32.4153903665,32.19264586,32.6550716257,32.63973262,32.5360116651,32.4190593389,32.7259383151,32.2174623731,32.3100558469,32.5920667192,31.021691859,31.8640226064,31.1148122187,31.0412601548,29.6999658375,29.8047388788,29.5968064215,29.6597758677,29.5735348434,30.1788349018,30.0883644562,29.6745879874,29.3465430794,30.1312211469,29.1883641514,30.2280449302,30.7915580186,31.2190590503,29.3634784193,29.670884907,29.60052645,30.8841348774,31.0640224106,30.8137762891,30.492628149,30.6248682937,30.8941908111,31.6434180056,30.9915408041,30.8312214961,31.0740786168,30.6322745251,30.2745879552,31.3100386364,31.3465429382
Eheliyagoda,229,29.4293759239,30.3427142539,33.4704467173,33.1709665782,34.9989106523,33.0133274205,32.2280628579,34.0414131861,33.2274471749,34.3986152169,34.256053945,33.7850397013,34.641649991,33.9280864733,34.1705765728,34.8129006051,34.113717534,31.9567763591,32.0292582293,31.6432474196,31.3291278287,30.2721149367,30.1006510241,29.9006750204,29.7721386064,30.4145341911,29.8866138409,30.3002725275,30.3146405957,30.443069952,30.6716414351,30.042726851,31.8280508602,32.0708013258,32.813209127,29.7575345218,29.9434607733,30.5427265785,33.0987344632,32.1852641814,31.1431651203,30.8285363599,32.0425608915,32.1995149901,32.7990406172,32.2280854384,32.3137295866,32.042572726,30.7719137446,31.6137288241,32.2425332496,32.1711793319
Ruwanwella,145,29.2065319609,29.7534525431,31.9927256298,31.8714063573,33.4431961233,32.474945843,30.816096721,32.6746019229,32.4418060344,33.0185691131,33.0459265171,32.8448263006,32.770086286,32.9530170496,32.5013138245,32.6748014204,32.8399567182,31.2175162962,31.8879085518,31.2452204158,31.108693532,29.715449365,29.8116158216,29.5888219987,29.684847323,29.6894855033,30.1786028231,30.1817247578,29.7735763992,29.5128625446,30.2461153946,29.3859611328,30.4636044537,31.0825323533,31.6398680957,29.423338502,29.6397932433,29.7013442812,31.1762389538,31.2506371941,30.9268422324,30.6705176146,30.8404410533,31.1449200404,31.884205909,31.1171194473,31.0558783674,31.1616219757,30.5305329448,30.3380495633,31.2559262251,31.3100615294
Mutur,13,27.5714285714,27.0857143402,28.9857145037,28.1857144492,28.600000109,28.4142859323,29.1999999455,29.7142857143,29.7285717555,30.6285713741,30.3142858233,30.8714286259,31.9857139587,32.5571430751,33.1999999455,33.5857143402,34.2571427481,34.4285719735,33.799999782,34.6857147217,34.7571432931,33.9857139587,33.6142856053,34.0571430751,34.0428570338,34.200000218,34.1142856053,33.7285712106,33,33.8857138497,35.1714286804,33.7142854418,33.428571701,35.4428569249,31.9857145037,32.9571429661,32.8857143947,35.4428563799,37.1142861502,37.600000109,36.199999673,32.0571425302,34.9571424212,32.4857139588,30.3428570884,29.200000218,29.8857143947,28.3857143947,26.9571432386,29.0142857688,27.899999891,28.4714284624
Panduwasnuwara,126,28.6571431841,29.1857144492,31.3571431296,30.3428570884,32.1857139042,32.1571426392,31.628571919,32.8714283534,32.9142853873,34.3428573608,34.8428573608,34.3142858233,34.3714283534,34.0714280265,33.8428568159,34.3857143947,34.1285705566,32.600000109,31.9714290074,32.300000327,31.8571423122,30.2571430206,30.2142859867,29.7142859868,30.200000218,30.4857142312,30.4857142312,30.9285714286,30.699999673,30.8428570883,30.9285717011,30.7142859868,31.5714285714,32.571427754,34.6285716465,30.0857140677,29.4142856598,30.0285712651,32.2142857143,32.2857142857,31.3857143947,31.4428571973,31.9428571974,32.4857139587,32.700000218,31.2142857143,32.0999998365,31.1285716465,29.2571430206,30.199999673,30.1285711016,30.5857146127
Hanwella,278,30.3999996185,30.1714286804,32.2857148307,32.6142861502,33.6857147217,31.8571428571,31.6142856053,32.300000327,31.8714283535,32.7285712106,32.9428574698,32.9714290074,33.1857141767,33.3428573608,33.1428565979,33.1428576878,33.4285714286,31.5142860413,32.8571428571,32.1142856053,32.0000002725,31.100000109,30.8857143947,30.7142857143,30.6285716466,30.7142857143,30.9714284624,30.6285713741,30.7428572518,30.700000218,30.928571701,29.8857143947,31.2000004904,31.3142855508,31.5142860413,30.2300494997,30.6714286804,30.3857141222,31.5729068605,31.6428571429,31.5142854963,30.7857145582,31.6857147217,31.6142856053,31.6428571429,31.6428568704,31.6428571429,31.6999999455,31.3571428571,30.9428569249,31.8514282136,31.871428081
Mathurata,125,18.4571428299,19.5714288439,21.5,19.4285711561,20.9000001635,19.5571428027,19.7142857143,20.6000006539,20.4857142312,20.4714287349,21.7857142857,22.3285710471,22.8857141222,23.3428576333,22.8142855508,23.5142854963,22.900000436,22.4428574698,21.6714286804,21.8857141222,20.8000000545,18.2714285169,17.6142858778,16.5857144765,17.2571426119,19.0714285714,17.6142856053,17.5857140678,17.4714287349,18.085714204,18.0285715376,18.9714287349,19.300000327,19.899999891,21.8285710471,17.5285715376,16.6571426392,18.2571430206,21.4571432386,20.6571431841,19.2428575243,19.2714289256,20.4285714286,19.899999891,20.3714286259,19.8571428572,20.299999782,20.1285713741,18.3714288984,19.1714284079,20.3428570884,19.2714285169
