"cell","resident","work"
1610,3805,494
1846,3918,561
1851,2513,534
1853,989,227
1856,1739,2440
1857,3561,1118
2103,1909,447
2105,2805,1146
2106,3838,4141
2107,163,89
2114,3680,452
2342,3006,402
2347,2518,389
2351,1488,230
2354,994,180
2357,3862,839
2372,2131,520
2374,672,413
2591,4002,395
2595,10122,2253
2605,1350,210
2611,998,222
2615,5025,716
2620,2121,299
2627,3801,516
2839,5264,644
2847,943,216
3086,4316,5268
3094,2564,619
3100,3618,545
3124,72,15
3128,2233,301
3334,3919,933
3337,187,362
3375,1402,175
3614,2076,422
3619,1142,249
3632,1901,209
3635,2222,233
3830,2,10
3831,6355,1421
3833,3615,618
3837,1581,193
3845,4743,475
3856,7511,1515
3860,1642,454
3865,115,27
4078,994,1285
4081,2282,800
4137,69,32
4141,1080,300
4142,5876,1979
4328,2528,2288
4329,4482,8069
4341,6940,1071
4345,1889,349
4348,2457,720
4354,326,135
4372,892,178
4577,39,52
4578,3321,455
4580,3211,1589
4582,5695,1962
4605,2737,294
4608,1029,163
4631,1661,209
4636,306,112
4637,4109,1119
4829,1636,446
4830,543,193
4831,5151,918
4834,4890,1395
4837,12912,1954
4852,2174,297
4863,1811,290
4868,1529,356
4890,136,28
4891,1496,172
5078,6413,1035
5081,3390,938
5084,192,198
5127,2145,296
5153,749,206
5327,126,38
5329,840,114
5333,4104,831
5334,10927,3717
5339,149,86
5369,4248,907
5402,1155,244
5410,67,27
5577,2169,508
5581,4403,727
5592,5292,659
5612,2534,422
5623,721,588
5876,1907,294
5893,3081,362
5898,1741,199
6078,9839,1088
6118,2343,357
6136,4765,833
6158,NA,2
6159,1816,714
6333,3474,518
6353,7376,1055
6365,7544,2509
6366,445,199
6414,1253,250
6588,3068,494
6609,295,76
6635,3014,356
6668,867,172
6841,9502,1261
6849,3466,510
6896,1046,168
6924,1573,192
6928,5819,1393
6935,1891,753
6939,4957,1353
7077,8034,1893
7078,1076,321
7085,1604,233
7088,4202,949
7113,6195,580
7114,165,19
7129,116,20
7133,3223,477
7165,1271,181
7192,24,6
7354,2636,441
7375,3382,459
7379,1360,298
7401,4126,1219
7410,2582,273
7436,1810,586
7584,10342,1681
7646,8995,1476
7849,3435,404
7871,4118,594
7927,1275,180
7948,1694,304
8080,3553,386
8170,1728,573
8182,2113,240
8195,577,392
8342,7000,1631
8582,6354,745
8602,4207,643
8609,6932,900
8638,5135,829
8656,1351,196
8830,742,95
8839,4683,599
8876,3805,989
8897,2679,407
8912,3640,373
8918,1195,150
8929,856,205
8940,1089,250
8954,858,112
9140,795,176
9333,3918,391
9468,1650,156
9473,111,17
9589,7592,1109
9601,3538,379
9607,1427,305
9658,1265,203
9724,834,115
9833,444,267
10084,3531,2725
10089,3907,455
10096,2057,330
10144,7328,763
10170,1512,335
10181,827,142
10189,108,42
10201,799,149
10334,2328,691
10335,3636,719
10383,3732,876
10414,166,65
10444,1007,211
10458,1630,147
10477,890,112
10586,6526,785
10601,1221,162
10609,2535,696
10616,1628,160
10633,594,164
10655,3472,657
10665,1799,552
10681,3805,511
10717,1170,369
10835,1481,409
10837,704,123
10847,5149,758
10903,1803,317
10911,1726,305
10918,749,236
10973,617,90
11087,5614,816
11092,6858,1089
11128,2831,332
11222,3252,632
11223,403,64
11225,2482,1175
11238,570,133
11361,1841,192
11393,4985,740
11424,2123,350
11601,8669,2270
11682,2181,335
11704,852,236
11858,2486,288
11884,4134,591
11901,1592,245
11946,6404,910
11960,830,511
11972,2331,309
12089,66,32
12090,5617,618
12096,3318,306
12120,738,92
12157,1978,604
12230,2391,341
12383,149,28
12431,7331,2003
12601,4072,415
12625,190,61
12632,1998,280
12842,2574,457
12875,1030,241
12901,2262,755
12913,1193,143
12933,28,28
12934,1575,1963
12985,89,33
13099,5462,817
13114,2859,658
13150,4175,787
13175,3082,433
13183,1306,207
13222,1769,258
13358,72,9
13444,168,39
13455,2,5
13456,1386,175
13670,2010,250
13694,3376,704
13845,1308,179
13849,1688,203
14011,20,10
14095,1049,236
14133,1908,446
14161,1679,236
14167,5074,1122
14184,2110,362
14241,3373,719
14255,68,16
14349,190,25
14350,2328,313
14375,2585,461
14452,3664,474
14475,542,81
14620,2460,456
14673,1975,397
14745,88,25
14859,1326,214
14936,1775,298
14995,222,29
15097,24,44
15098,4823,1318
15246,2486,479
15349,1733,1160
15440,1624,277
15600,261,184
15656,597,70
15672,1864,276
15699,1575,364
15714,920,109
15725,1248,273
15744,698,99
15849,31,37
15850,2804,631
15851,3972,459
15853,6696,1363
15871,1898,361
16100,6228,1116
16105,1297,156
16114,4756,802
16171,1910,440
16184,478,54
16400,157,30
16414,265,34
16601,7105,624
16604,4558,494
16625,1705,225
16670,3084,461
16853,10619,1909
16868,4020,447
16932,1775,368
17232,314,47
17355,2969,360
17358,1992,200
17367,1924,206
17635,3654,713
17673,578,101
17681,2094,682
17884,158,179
17984,1883,301
18108,5618,888
18115,3219,413
18118,1463,256
18123,7841,3652
18139,2044,245
18154,322,390
18160,1227,181
18177,1145,143
18185,166,38
18383,2943,565
18404,5244,546
18427,666,183
18466,977,111
18616,1549,225
18629,2042,639
18861,1255,361
18866,1181,435
18925,3667,824
19110,3450,924
19112,1048,634
19114,8165,1386
19122,887,188
19360,12,22
19443,2568,431
19481,505,50
19611,767,1753
19612,6977,2505
19618,1739,309
19633,3123,412
19678,4917,1317
19878,3070,838
19913,1514,227
20113,3516,945
20114,3510,704
20116,3488,620
20170,3084,741
20363,128,79
20387,1079,159
20396,6511,694
20436,1160,213
20616,3176,365
20621,1971,337
20628,959,285
20651,1245,215
20671,1089,180
20682,3833,635
20864,2303,624
20882,1973,433
20931,342,357
20995,2730,361
21115,2445,375
21118,1584,300
21201,2746,394
21373,1774,204
21377,681,193
21392,4599,884
21407,3718,520
21428,1314,258
21448,12509,2939
21617,1928,281
21619,1428,224
21639,3150,540
21658,646,134
21663,694,122
21701,2866,2265
21721,1227,214
21868,4819,828
21871,1470,302
21999,1030,219
22126,2827,431
22133,4190,984
22174,1510,279
22176,830,191
22205,3409,726
22368,5325,1030
22395,1455,306
22419,147,69
22420,1461,700
22421,413,808
22422,673,1182
22619,4626,847
22630,1815,353
22634,844,81
22671,824,203
22673,7285,2639
22700,4222,533
22751,673,102
22768,2068,443
22869,1735,1041
22877,350,95
22928,1506,223
22940,1053,211
22955,3363,548
22963,819,177
22966,2337,418
23120,40,1234
23124,5960,1166
23125,2103,337
23131,3935,629
23138,1639,334
23169,943,416
23194,962,112
23216,380,83
23370,2760,3178
23371,7458,2240
23379,11308,2283
23386,3306,786
23388,11410,5708
23427,5975,2025
23621,1425,284
23627,2418,282
23635,1029,366
23641,164,57
